-	ー
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
vya	ゔゃ
vyi	ゔぃ
vyu	ゔゅ
vye	ゔぇ
vyo	ゔょ
qqa	っくぁ
qqi	っくぃ
qqu	っく
qqe	っくぇ
qqo	っくぉ
vva	っゔぁ
vvi	っゔぃ
vvu	っゔ
vve	っゔぇ
vvo	っゔぉ
vvya	っゔゃ
vvyi	っゔぃ
vvyu	っゔゅ
vvye	っゔぇ
vvyo	っゔょ
lla	っぁ
lli	っぃ
llu	っぅ
lle	っぇ
llo	っぉ
llya	っゃ
llyi	っぃ
llyu	っゅ
llye	っぇ
llyo	っょ
xxa	っぁ
xxi	っぃ
xxu	っぅ
xxe	っぇ
xxo	っぉ
xxya	っゃ
xxyi	っぃ
xxyu	っゅ
xxye	っぇ
xxyo	っょ
kka	っか
kki	っき
kku	っく
kke	っけ
kko	っこ
kkya	っきゃ
kkyi	っきぃ
kkyu	っきゅ
kkye	っきぇ
kkyo	っきょ
gga	っが
ggi	っぎ
ggu	っぐ
gge	っげ
ggo	っご
ggya	っぎゃ
ggyi	っぎぃ
ggyu	っぎゅ
ggye	っぎぇ
ggyo	っぎょ
ssa	っさ
ssi	っし
ssu	っす
sse	っせ
sso	っそ
ssya	っしゃ
ssyi	っしぃ
ssyu	っしゅ
ssye	っしぇ
ssyo	っしょ
zza	っざ
zzi	っじ
zzu	っず
zze	っぜ
zzo	っぞ
zzya	っじゃ
zzyi	っじぃ
zzyu	っじゅ
zzye	っじぇ
zzyo	っじょ
jja	っじゃ
jji	っじ
jju	っじゅ
jje	っじぇ
jjo	っじょ
jjya	っじゃ
jjyi	っじぃ
jjyu	っじゅ
jjye	っじぇ
jjyo	っじょ
tta	った
tti	っち
ttu	っつ
tte	って
tto	っと
ttya	っちゃ
ttyi	っちぃ
ttyu	っちゅ
ttye	っちぇ
ttyo	っちょ
dda	っだ
ddi	っぢ
ddu	っづ
dde	っで
ddo	っど
ddya	っぢゃ
ddyi	っぢぃ
ddyu	っぢゅ
ddye	っぢぇ
ddyo	っぢょ
hha	っは
hhi	っひ
hhu	っふ
hhe	っへ
hho	っほ
hhya	っひゃ
hhyi	っひぃ
